origin_trct_2020,"10 (Champaign, IL)","106.04 (Champaign, IL)","109.01 (Champaign, IL)","109.02 (Champaign, IL)","11 (Champaign, IL)","110.01 (Champaign, IL)","110.02 (Champaign, IL)","111 (Champaign, IL)","12.01 (Champaign, IL)","12.03 (Champaign, IL)","12.04 (Champaign, IL)","12.05 (Champaign, IL)","12.06 (Champaign, IL)","13.01 (Champaign, IL)","13.02 (Champaign, IL)","14 (Champaign, IL)","2 (Champaign, IL)","3.01 (Champaign, IL)","3.02 (Champaign, IL)","4.01 (Champaign, IL)","4.02 (Champaign, IL)","5 (Champaign, IL)","53 (Champaign, IL)","54.01 (Champaign, IL)","54.02 (Champaign, IL)","55 (Champaign, IL)","56.01 (Champaign, IL)","56.02 (Champaign, IL)","57.01 (Champaign, IL)","57.02 (Champaign, IL)","58 (Champaign, IL)","59.01 (Champaign, IL)","59.02 (Champaign, IL)","60 (Champaign, IL)","7 (Champaign, IL)","8 (Champaign, IL)","9.01 (Champaign, IL)","9.02 (Champaign, IL)"
"10 (Champaign, IL)",1.25,7.0,12.0,12.0,1.875,2.0,2.0,7.625,3.5,6.0,8.75,10.0,7.0,3.0,9.0,5.9,4.0,5.0,3.25,6.0,8.0,2.6666666666666665,6.0,8.0,11.0,11.5,10.0,13.0,10.0,13.0,7.0,9.0,5.75,8.25,5.333333333333333,5.666666666666667,2.0,4.25
"106.04 (Champaign, IL)",6.0,2.0,17.0,,11.0,9.5,8.0,11.0,11.333333333333334,12.0,11.5,11.0,14.0,11.0,11.0,13.0,9.0,10.0,10.0,13.0,11.0,10.0,7.333333333333333,9.6,11.0,13.0,7.5,12.0,10.0,18.0,14.0,7.0,12.0,12.0,6.5,5.0,5.0,5.5
"109.01 (Champaign, IL)",12.5,18.0,7.5,2.0,9.0,10.75,10.0,11.0,11.0,12.0,9.333333333333334,14.25,11.0,8.722222222222221,8.0,7.0,11.0,12.0,10.0,11.0,9.5,7.5,12.75,15.0,20.5,15.0,13.0,11.5,10.5,9.5,11.0,11.625,11.0,9.0,13.0,16.0,14.0,11.0
"109.02 (Champaign, IL)",13.0,17.0,4.5,2.0,11.5,11.0,9.0,12.0,12.0,11.375,8.0,13.0,9.0,9.0,8.333333333333334,6.0,9.5,11.444444444444445,10.0,9.0,10.0,7.0,13.0,14.666666666666666,17.0,16.0,13.0,11.0,11.5,11.0,11.0,10.0,12.0,9.666666666666666,12.0,14.333333333333334,13.666666666666666,18.0
"11 (Champaign, IL)",2.0,11.0,11.0,10.0,1.0,3.0,3.0,5.0,3.875,4.5,7.333333333333333,8.333333333333334,7.0,2.666666666666667,9.0,4.0,7.0,4.0,5.0,4.6,3.8,3.0,8.0,9.333333333333334,12.5,10.0,9.0,9.0,8.5,12.333333333333334,8.0,5.0,5.4,5.0,5.0,5.333333333333333,3.3333333333333335,4.857142857142858
"110.01 (Champaign, IL)",0.0,7.0,8.5,10.666666666666666,2.5,1.0,1.3214285714285716,4.0,4.875,7.0,9.5,10.0,,5.0,7.0,7.0,2.0,3.3333333333333335,2.0,4.0,3.0,1.0,5.0,6.0,8.0,10.0,8.0,11.0,10.0,12.0,5.0,4.5,4.5,6.5,2.0,5.0,2.5,6.0
"110.02 (Champaign, IL)",3.0,8.0,10.0,7.0,4.0,1.0,1.1111111111111112,6.0,4.0,7.0,10.333333333333334,7.0,10.5,4.0,7.5,4.333333333333333,2.0,2.3333333333333335,1.0,3.0,2.0,2.0,5.0,5.0,10.0,9.0,9.0,15.0,8.5,10.5,4.5,5.0,4.0,6.0,3.0,5.666666666666667,3.3333333333333335,5.0
"111 (Champaign, IL)",7.0,11.0,11.5,13.0,7.0,5.5,4.0,1.0,8.666666666666666,11.0,13.666666666666666,16.0,13.0,7.5,8.5,5.3,3.6666666666666665,3.5,3.5,3.0,5.0,5.0,1.0,3.25,5.5,2.5,3.25,7.0,5.75,5.5,1.0,4.0,2.5,4.0,4.0,8.5,7.5,12.5
"12.01 (Champaign, IL)",3.291666666666667,13.0,14.0,12.0,3.5,6.0,8.0,9.0,2.4545454545454546,4.5,6.0,6.5,4.0,6.0,8.0,7.6,7.0,7.5,7.0,8.0,10.0,4.0,10.428571428571429,13.0,12.0,16.0,10.0,15.0,12.0,10.0,11.0,10.0,8.0,8.0,8.5,8.5625,4.0,3.0
"12.03 (Champaign, IL)",4.75,11.0,15.0,10.125,4.0,6.5,6.0,10.0,5.0,2.4166666666666665,2.0,6.0,2.0,4.5,5.571428571428571,7.0,11.0,9.0,8.5,7.0,7.5,9.0,12.0,13.0,16.0,13.0,13.0,11.0,10.5,10.0,13.0,7.25,8.875,9.5,9.0,10.68181818181818,6.5,7.0
