origin_trct_2020,"10 (Champaign, IL)","106.04 (Champaign, IL)","109.01 (Champaign, IL)","109.02 (Champaign, IL)","11 (Champaign, IL)","110.01 (Champaign, IL)","110.02 (Champaign, IL)","111 (Champaign, IL)","12.01 (Champaign, IL)","12.03 (Champaign, IL)","12.04 (Champaign, IL)","12.05 (Champaign, IL)","12.06 (Champaign, IL)","13.01 (Champaign, IL)","13.02 (Champaign, IL)","14 (Champaign, IL)","2 (Champaign, IL)","3.01 (Champaign, IL)","3.02 (Champaign, IL)","4.01 (Champaign, IL)","4.02 (Champaign, IL)","5 (Champaign, IL)","53 (Champaign, IL)","54.01 (Champaign, IL)","54.02 (Champaign, IL)","55 (Champaign, IL)","56.01 (Champaign, IL)","56.02 (Champaign, IL)","57.01 (Champaign, IL)","57.02 (Champaign, IL)","58 (Champaign, IL)","59.01 (Champaign, IL)","59.02 (Champaign, IL)","60 (Champaign, IL)","7 (Champaign, IL)","8 (Champaign, IL)","9.01 (Champaign, IL)","9.02 (Champaign, IL)"
"10 (Champaign, IL)",0.8310679611650486,4.103703703703704,6.525,6.6976744186046515,1.1635062611806797,1.3649056603773584,1.8781201848998461,3.5356617647058823,1.3336409395973154,2.4443569553805773,3.9381944444444446,4.123860589812333,3.1714285714285713,2.636936936936937,4.194249201277955,3.7456790123456787,2.779831932773109,2.853363228699551,2.2895238095238097,3.0016129032258063,2.7596153846153846,1.9493827160493826,3.5694285714285714,5.069090909090909,7.0592592592592585,5.836170212765958,5.7595121951219515,6.404477611940298,5.887951807228916,7.463333333333334,4.065644171779141,3.7423076923076923,3.277173913043478,4.1891891891891895,2.1506666666666665,3.261036920659859,1.5794594594594593,2.0179622641509436
"106.04 (Champaign, IL)",3.8461538461538463,2.183333333333333,8.766666666666667,3.95691658031427,5.372727272727273,4.087096774193548,4.1125,5.484210526315789,6.344186046511628,5.2875,8.214285714285714,7.333333333333333,8.5,5.3999999999999995,7.040000000000001,7.057142857142857,4.093103448275862,5.1,5.05,5.833333333333333,5.5,4.771428571428571,3.8454545454545452,5.226190476190476,5.291666666666667,7.117647058823529,4.8125,8.276923076923076,5.1,10.48,7.1,3.6999999999999997,5.533333333333334,6.6,3.423529411764706,2.707359307359307,2.7161290322580647,4.357777777777778
"109.01 (Champaign, IL)",6.8125,9.15,1.1181818181818182,1.147872340425532,5.688888888888889,5.7272727272727275,5.196774193548387,6.222222222222222,6.557894736842106,5.72,5.1863636363636365,7.1,6.5,3.9333333333333336,2.1616161616161618,2.5164948453608247,6.088888888888889,5.385106382978723,5.3076923076923075,5.308695652173912,4.833333333333333,4.6755555555555555,7.072549019607843,8.151020408163264,10.200000000000001,8.0625,7.022222222222222,6.326315789473685,6.121052631578947,5.478947368421053,5.93125,5.636,5.548333333333333,4.91875,6.686111111111111,7.4715,7.160869565217391,8.833333333333334
"109.02 (Champaign, IL)",6.828205128205129,10.0,1.2722222222222221,0.8936507936507936,5.62,5.724137931034483,5.191089108910891,6.394444444444444,6.464539007092198,5.141304347826087,4.397058823529412,7.3808823529411764,5.225,4.1022727272727275,2.123529411764706,2.7379629629629627,6.08,5.333333333333333,5.1875,5.092592592592593,4.829032258064516,4.811940298507462,6.952083333333333,8.058823529411764,10.05,8.377777777777778,7.414285714285714,6.511111111111111,6.35,6.166666666666667,6.0,5.733333333333333,5.771794871794872,5.178571428571429,6.823076923076924,7.629166666666667,7.226923076923077,8.698507462686566
"11 (Champaign, IL)",1.1863636363636363,5.164285714285714,5.613333333333333,5.39,0.7292096219931271,1.60752688172043,1.6729641693811075,3.3885906040268456,1.2561264822134388,1.904390243902439,3.393220338983051,4.222857142857142,2.891666666666667,1.6405572755417956,3.3402366863905324,2.6707207207207206,2.996551724137931,2.220779220779221,2.459090909090909,2.387654320987654,2.062176165803109,1.1474308300395257,3.966417910447761,4.767469879518072,7.153846153846154,4.983076923076923,5.1375,5.638461538461538,4.69264705882353,6.293506493506494,3.542857142857143,3.0109090909090908,2.722596153846154,2.909090909090909,2.4960629921259843,3.4941698352344743,2.1052287581699347,2.8344444444444443
"110.01 (Champaign, IL)",1.394756554307116,4.0680000000000005,5.343478260869565,5.4375,1.6024999999999998,0.542603550295858,0.7295454545454546,2.382278481012658,2.6777070063694266,3.6246575342465754,5.1805194805194805,5.8475,3.95691658031427,2.4387234042553194,3.9740458015267177,2.6309677419354838,1.2869565217391306,1.5734375,1.2069767441860464,1.8683544303797468,1.582716049382716,1.0404624277456647,2.3709302325581394,3.313541666666667,5.1,4.421428571428571,4.339130434782609,5.838461538461539,4.890909090909091,6.171428571428572,2.826470588235294,2.590909090909091,2.307960199004975,3.2066666666666666,1.0462962962962963,2.4011415525114157,1.5935,3.3436363636363637
"110.02 (Champaign, IL)",1.8954474097331242,4.214285714285714,5.0736842105263165,4.987804878048781,1.6908860759493671,0.7114718614718615,0.590048154093098,2.111014492753623,2.9418145956607495,3.869688385269122,5.350892857142857,5.853429602888087,5.066666666666666,2.358765432098765,3.7249999999999996,2.3590410958904107,0.9701492537313433,0.9556650246305419,0.75,1.402027027027027,0.9095238095238096,0.9660997732426304,2.063090128755365,3.0197802197802197,5.181818181818182,3.512341772151899,3.8952681388012618,4.9787037037037045,4.31063829787234,5.6,2.4219354838709677,2.093283582089552,1.7497716894977169,2.5283783783783784,1.1745934959349593,2.5543533389687236,2.1234146341463416,3.947682119205298
"111 (Champaign, IL)",3.610431654676259,3.966666666666667,5.625925925925926,5.652941176470588,3.519014084507042,2.5822033898305086,2.1016501650165016,0.6347328244274809,4.657516339869281,5.498726114649681,6.798936170212766,7.568181818181818,6.35,3.790728476821192,4.84869109947644,2.750873362445415,1.6636363636363636,1.2225490196078432,1.2717391304347827,1.3117370892018778,1.7023255813953488,2.545251396648045,1.25,1.1270588235294117,3.089814814814815,1.3472627737226277,1.7472318339100346,3.025757575757576,2.1824057450628365,3.403488372093023,0.9363817097415507,1.0970873786407767,1.0024163568773234,1.7444444444444445,2.8078212290502793,4.227459618208517,4.014364640883978,5.893112244897959
"12.01 (Champaign, IL)",1.3674255691768826,6.318181818181818,6.614999999999999,6.438759689922481,1.2226110363391656,2.6703488372093025,2.903347280334728,4.605900621118012,0.9408220271348762,1.3389978213507625,2.864056939501779,2.9632812499999996,2.2,2.386780905752754,4.18811475409836,4.110775047258979,3.8730769230769235,3.3788079470198675,3.40921052631579,3.6216494845360825,3.055,2.6278260869565218,5.108892355694228,5.992903225806452,7.793617021276596,6.124736842105263,5.907638888888889,7.248958333333333,5.824161073825503,6.971875,4.432954545454546,4.362569832402235,3.934096109839817,4.288172043010753,3.5827397260273974,4.5892070484581495,2.885494505494506,2.3346153846153848
"12.03 (Champaign, IL)",2.397761194029851,5.48125,5.723809523809524,5.088970588235294,1.8967441860465117,3.6753846153846155,3.7968299711815563,5.598101265822785,1.3193647540983606,0.8454367026496565,1.533400402414487,2.345360824742268,1.1333333333333333,1.827016129032258,3.0316384180790963,3.547417840375587,4.546666666666667,4.209160305343511,3.7435294117647056,4.066666666666666,3.3666666666666667,2.90049504950495,6.1461805555555555,7.055084745762712,8.836842105263159,6.704301075268817,6.182894736842105,6.067796610169491,5.633333333333333,6.296153846153846,5.247727272727273,4.348,4.525714285714286,4.069999999999999,4.799541284403669,5.558967136150235,3.8140449438202246,3.2225108225108223
